project_code	type	uuid	barcode
TCGA-BRCA	sample	9c70688d-6e43-4520-9262-eaae4e4d597d	TCGA-BH-A18R-01A-11D-A19H-09
TCGA-BRCA	sample	2dc03379-af51-45de-8ee1-78687da05313	TCGA-BH-A18R-11A-42D-A19H-09
